batch_divisor,nb_hidden,hidden_size,number_of_parameters,lr,seed,epochs_trained,total_power_used,average_power_usage,samples_interval,training_duration,train_loss_reached,train_accuracy_reached,test_loss_reached,test_accuracy_reached
10.0,5.0,64.0,71690,0.01,3460.0,10.0,0.0004518518518518519,17.15263842289797,0.500550006114583,94.77090549468994,1.7525570789972942,0.46817221740881604,0.0,0.0
10.0,5.0,64.0,71690,0.1,3460.0,10.0,0.0003801851851851852,14.985388018174902,0.49982687846852486,91.30136156082153,2.4226438522338865,0.10036110977331797,0.0,0.0
10.0,5.0,128.0,184330,0.001,3460.0,10.0,0.0004233796296296296,16.017106133389028,0.4999725744655225,95.1611119111379,1.657400600115458,0.48953888416290287,0.0,0.0
10.0,5.0,128.0,184330,0.01,3460.0,10.0,0.0005174537037037037,19.412485879394698,0.5033405203174758,96.63909546534221,1.9478198528289796,0.28602221931020416,0.0,0.0
10.0,5.0,128.0,184330,0.1,3460.0,10.0,0.00038583333333333335,14.98920856340211,0.5011029940664012,92.87099639574687,2.421482793490092,0.1005888876815637,0.0,0.0
20.0,1.0,32.0,26506,0.001,3460.0,10.0,0.00040666666666666656,16.025251119128573,0.5006788252402844,91.45565621058147,1.6155263821283976,0.7125888784726461,0.0,0.0
20.0,1.0,32.0,26506,0.01,3460.0,10.0,0.0004161111111111111,15.93615054733119,0.4994592226103906,93.897794008255,1.5683324615160625,0.7975055456161498,0.0,0.0
20.0,1.0,32.0,26506,0.1,3460.0,10.0,0.00048472222222222216,18.145527489925158,0.5003702022396908,96.23789858818054,2.008059718211492,0.3269999978442987,0.0,0.0
20.0,1.0,64.0,55050,0.001,3460.0,10.0,0.00040805555555555555,15.823789564966035,0.5005875189788954,92.94182403882344,1.5973418374856312,0.7186666578054428,0.0,0.0
20.0,1.0,64.0,55050,0.01,3460.0,10.0,0.0004431481481481482,16.93983721434702,0.50042497884727,94.24567087491353,1.5507140894730886,0.850738882025083,0.0,0.0
20.0,1.0,64.0,55050,0.1,3460.0,10.0,0.00047124999999999993,17.36462609469075,0.5010108878998137,98.03556839625041,2.25380121866862,0.15264444313943384,0.0,0.0
20.0,1.0,128.0,118282,0.001,3460.0,10.0,0.0004079629629629629,15.822126142526642,0.5002088986705017,92.86939819653828,1.5884715060393015,0.7783944328625997,0.0,0.0
20.0,1.0,128.0,118282,0.01,3460.0,10.0,0.000497037037037037,18.0437795035785,0.4998830113397153,99.14350724220276,1.5450596948464712,0.8643333206574123,0.0,0.0
20.0,1.0,128.0,118282,0.1,3460.0,10.0,0.0003854166666666668,14.972943911653589,0.4996978186087519,92.61054356892903,2.392355692386627,0.09990555420517921,0.0,0.0
20.0,3.0,32.0,28618,0.001,3460.0,10.0,0.00040837962962962963,15.78133078170827,0.5004639975495354,93.2523701985677,1.6355551302433013,0.5867111052076022,0.0,0.0
20.0,3.0,32.0,28618,0.01,3460.0,10.0,0.00037754629629629634,14.800001979884376,0.4996850446788246,91.77520378430684,1.590090036392212,0.6870555515090624,0.0,0.0
20.0,3.0,32.0,28618,0.1,3460.0,10.0,0.0004905555555555556,18.42743782722513,0.49993673045190357,95.82115976015727,2.3867920915285747,0.099649998669823,0.0,0.0
20.0,3.0,64.0,63370,0.001,3460.0,10.0,0.00040865740740740733,15.734425669909541,0.4999851830048916,93.49699012438457,1.6211639543374379,0.5903055484096209,0.0,0.0
20.0,3.0,64.0,63370,0.01,3460.0,10.0,0.00047791666666666664,17.76701743140502,0.49986682268568944,96.80767448743184,1.61062353849411,0.7277277698119482,0.0,0.0
20.0,3.0,64.0,63370,0.1,3460.0,10.0,0.00038620370370370376,15.11231884057971,0.5010341051696003,92.19027535120647,2.3941791733105977,0.09995555443068345,0.0,0.0
20.0,3.0,128.0,151306,0.001,3460.0,10.0,0.00041375,15.875353785015022,0.501020185811473,94.02649998664856,1.6106320162614187,0.5916833266615867,0.0,0.0
20.0,3.0,128.0,151306,0.01,3460.0,10.0,0.0005044907407407407,18.2233260376964,0.5006998961131157,99.80562011400859,1.6534201165040334,0.5775444398323696,0.0,0.0
20.0,3.0,128.0,151306,0.1,3460.0,10.0,0.0003928240740740741,15.070630562909217,0.5000843930349986,93.8482437133789,2.399120299021403,0.10056666545569896,0.0,0.0
20.0,5.0,32.0,30730,0.001,3460.0,10.0,0.0004068518518518518,15.89247311827957,0.5006016372711333,92.27521459261577,1.6885320127010346,0.5151111051440239,0.0,0.0
20.0,5.0,32.0,30730,0.01,3460.0,10.0,0.0004076851851851852,15.773049645390072,0.5013434902819512,93.24902534484863,1.677357699473699,0.5109166607260703,0.0,0.0
20.0,5.0,32.0,30730,0.1,3460.0,10.0,0.0004881018518518518,18.208981001727114,0.5001654270811197,96.53192742665608,2.4039697209993998,0.0990611106157303,0.0,0.0
20.0,5.0,64.0,71690,0.001,3460.0,10.0,0.0004049074074074074,15.811330525099832,0.4997180869074813,92.11365405718486,1.6765910545984903,0.3579499952495098,0.0,0.0
20.0,5.0,64.0,71690,0.01,3460.0,10.0,0.0004824537037037037,17.674528068940827,0.5005118573389108,98.271067460378,1.8850722928841908,0.3994055529435476,0.0,0.0
20.0,5.0,64.0,71690,0.1,3460.0,10.0,0.00038444444444444447,14.989169604386996,0.4991878383705021,92.18311007817586,2.4145363171895347,0.10084444358944893,0.0,0.0
20.0,5.0,128.0,184330,0.001,3460.0,10.0,0.0004274537037037037,16.056562676139567,0.49984843445172583,95.80344295501709,1.6305032432079314,0.5131388778487841,0.0,0.0
20.0,5.0,128.0,184330,0.01,3460.0,10.0,0.0005141203703703704,18.476633499170813,0.5003900279176373,100.24473985036214,2.027899545431137,0.2859777756035328,0.0,0.0
20.0,5.0,128.0,184330,0.1,3460.0,10.0,0.0003955092592592593,15.146327991759781,0.4999628461121722,93.99214140574138,2.417798427740733,0.10010555448631446,0.0,0.0
